elapsed (s),x-axis (g),y-axis (g),z-axis (g)
19.925,-0.058,0.761,0.718
19.925,-0.041,0.741,0.739
20.047,-0.042,0.651,0.762
20.047,-0.043,0.59,0.827
20.047,-0.031,0.605,0.852
20.172,-0.041,0.525,0.883
20.172,-0.04,0.508,0.927
20.173,-0.037,0.45,0.934
20.285,-0.041,0.386,0.963
20.285,-0.037,0.387,0.971
20.285,-0.044,0.284,0.986
20.407,-0.044,0.296,1.026
20.407,-0.044,0.262,1.005
20.407,-0.047,0.162,1.021
20.531,-0.043,0.175,1.05
20.531,-0.046,0.18,1.022
20.531,-0.053,0.032,1.018
20.655,-0.044,0.054,1.033
20.656,-0.063,-0.054,0.97
20.656,-0.056,-0.068,1.107
20.767,-0.083,-0.158,1.018
20.768,-0.076,-0.275,1.037
20.768,-0.091,-0.237,0.993
20.902,-0.104,-0.438,0.89
20.902,-0.091,-0.304,1.017
20.903,-0.104,-0.453,0.884
21.015,-0.083,-0.441,0.979
21.015,-0.135,-0.519,0.859
21.015,-0.138,-0.587,0.813
21.128,-0.161,-0.65,0.762
21.128,-0.162,-0.698,0.795
21.128,-0.148,-0.665,0.771
21.251,-0.142,-0.642,0.759
21.251,-0.131,-0.63,0.738
21.251,-0.115,-0.604,0.816
21.375,-0.121,-0.558,0.791
21.375,-0.115,-0.574,0.787
21.375,-0.092,-0.474,0.958
21.499,-0.117,-0.461,0.853
21.499,-0.072,-0.374,1.007
21.499,-0.106,-0.292,0.902
21.611,-0.111,-0.354,1.027
21.611,-0.098,-0.151,1.125
21.612,-0.118,-0.283,0.938
21.735,-0.085,-0.12,1.083
21.735,-0.102,-0.114,1.017
21.735,-0.072,-0.082,1.063
21.859,-0.082,0.039,1.021
21.859,-0.078,-0.04,1.034
21.859,-0.062,0.133,1.092
21.983,-0.059,-0.026,0.993
21.984,-0.045,-0.043,1.023
21.984,-0.083,0.004,0.991
22.096,-0.07,-0.046,1.022
22.096,-0.064,0.023,1.029
22.096,-0.083,0.043,1.033
22.219,-0.029,-0.021,1.028
22.22,-0.07,-0.039,0.976
22.22,-0.081,-0.022,0.964
22.343,-0.071,-0.095,1.004
22.343,-0.064,-0.061,1.076
22.343,-0.101,0.054,1.124
22.467,-0.05,-0.06,1.055
22.467,-0.04,-0.054,1.09
22.467,-0.074,-0.046,0.997
22.579,-0.064,0.007,1.11
22.579,-0.085,0.005,1.052
22.579,-0.052,-0.02,1.02
22.703,-0.064,0.001,1.035
22.704,-0.076,0.006,1.044
22.704,-0.045,0,1.029
22.827,-0.044,0.015,1.046
22.827,-0.042,0.022,1.037
22.827,-0.033,0.021,1.037
22.939,-0.045,0.019,1.039
22.939,-0.041,0.019,1.038
22.939,-0.04,0.019,1.038
23.063,-0.039,0.02,1.038
23.063,-0.039,0.019,1.038
23.063,-0.039,0.02,1.038
23.187,-0.039,0.021,1.038
23.187,-0.039,0.019,1.038
23.187,-0.04,0.017,1.036
23.31,-0.039,0.018,1.036
23.311,-0.038,0.02,1.038
23.311,-0.038,0.021,1.037
23.423,-0.04,0.018,1.035
23.423,-0.04,0.019,1.037
23.423,-0.038,0.02,1.036
23.547,-0.04,0.021,1.038
23.547,-0.04,0.02,1.036
23.547,-0.039,0.02,1.036
23.67,-0.039,0.02,1.039
23.67,-0.039,0.02,1.036
23.671,-0.039,0.019,1.036
23.795,-0.04,0.02,1.036
23.795,-0.039,0.02,1.037
23.795,-0.038,0.021,1.036
23.907,-0.039,0.02,1.037
23.907,-0.04,0.019,1.035
23.907,-0.04,0.02,1.037
24.031,-0.04,0.02,1.037
24.031,-0.039,0.02,1.036
24.031,-0.039,0.021,1.038
24.155,-0.039,0.021,1.038
24.155,-0.039,0.02,1.037
24.155,-0.04,0.02,1.038
24.267,-0.038,0.021,1.037
24.267,-0.039,0.02,1.036
24.267,-0.038,0.019,1.036
24.391,-0.038,0.02,1.036
24.391,-0.039,0.021,1.037
24.391,-0.037,0.019,1.037
24.515,-0.038,0.02,1.036
24.515,-0.039,0.021,1.037
24.515,-0.039,0.019,1.037
24.638,-0.039,0.019,1.038
24.639,-0.039,0.02,1.037
24.64,-0.038,0.02,1.037
24.751,-0.037,0.02,1.036
24.751,-0.039,0.02,1.037
24.751,-0.04,0.021,1.036
24.875,-0.039,0.02,1.037
24.875,-0.039,0.019,1.037
24.875,-0.039,0.019,1.037
24.998,-0.038,0.02,1.036
24.999,-0.038,0.021,1.035
24.999,-0.037,0.02,1.035
25.122,-0.039,0.02,1.037
25.122,-0.038,0.021,1.036
25.122,-0.039,0.021,1.038
25.235,-0.039,0.02,1.037
25.235,-0.039,0.021,1.038
25.235,-0.039,0.02,1.038
25.358,-0.038,0.02,1.036
25.358,-0.039,0.021,1.037
25.358,-0.041,0.019,1.038
25.482,-0.039,0.019,1.038
25.482,-0.04,0.02,1.037
25.482,-0.04,0.019,1.035
25.605,-0.04,0.02,1.037
25.606,-0.038,0.019,1.036
25.606,-0.039,0.02,1.035
25.718,-0.039,0.019,1.036
25.718,-0.039,0.02,1.037
25.718,-0.038,0.02,1.037
25.841,-0.037,0.021,1.036
25.841,-0.037,0.021,1.036
25.842,-0.039,0.02,1.037
25.965,-0.039,0.02,1.036
25.965,-0.039,0.02,1.037
25.965,-0.038,0.02,1.037
26.078,-0.039,0.021,1.036
26.078,-0.039,0.021,1.036
26.078,-0.039,0.02,1.036
26.202,-0.04,0.02,1.036
26.202,-0.039,0.021,1.036
26.202,-0.04,0.021,1.036
26.326,-0.039,0.02,1.036
26.326,-0.038,0.02,1.037
26.326,-0.038,0.02,1.038
26.45,-0.037,0.02,1.035
26.45,-0.038,0.02,1.035
26.45,-0.039,0.02,1.037
26.562,-0.039,0.02,1.036
26.562,-0.038,0.021,1.038
26.562,-0.039,0.021,1.037
26.686,-0.038,0.021,1.037
26.686,-0.04,0.019,1.035
26.686,-0.04,0.021,1.035
26.81,-0.038,0.021,1.036
26.81,-0.039,0.021,1.037
26.812,-0.04,0.02,1.035
26.933,-0.039,0.02,1.035
26.934,-0.039,0.021,1.036
26.934,-0.038,0.021,1.037
27.046,-0.038,0.021,1.037
27.046,-0.038,0.02,1.037
27.046,-0.037,0.021,1.037
27.17,-0.038,0.02,1.036
27.17,-0.038,0.021,1.036
27.17,-0.038,0.021,1.036
27.293,-0.039,0.02,1.038
27.294,-0.039,0.021,1.037
27.295,-0.038,0.021,1.036
27.417,-0.038,0.021,1.037
27.417,-0.038,0.021,1.038
27.417,-0.039,0.021,1.037
27.53,-0.039,0.02,1.037
27.53,-0.038,0.02,1.037
27.53,-0.037,0.021,1.036
27.653,-0.038,0.02,1.036
27.654,-0.04,0.021,1.038
27.654,-0.038,0.02,1.037
27.777,-0.039,0.02,1.039
27.777,-0.038,0.02,1.036
27.777,-0.038,0.021,1.036
27.89,-0.04,0.02,1.036
27.89,-0.038,0.02,1.036
27.89,-0.038,0.02,1.036
28.014,-0.038,0.021,1.036
28.014,-0.037,0.02,1.035
28.014,-0.038,0.02,1.035
28.137,-0.038,0.021,1.035
28.137,-0.038,0.021,1.036
28.137,-0.039,0.021,1.035
28.261,-0.039,0.02,1.035
28.261,-0.039,0.021,1.036
28.261,-0.038,0.021,1.036
28.373,-0.039,0.021,1.036
28.374,-0.038,0.021,1.036
28.374,-0.039,0.02,1.035
28.497,-0.039,0.021,1.036
28.498,-0.038,0.021,1.036
28.498,-0.039,0.021,1.035
28.621,-0.039,0.021,1.035
28.621,-0.039,0.021,1.036
28.621,-0.039,0.021,1.036
28.744,-0.039,0.021,1.035
28.744,-0.04,0.021,1.036
28.744,-0.038,0.021,1.035
28.857,-0.038,0.021,1.037
28.857,-0.038,0.02,1.036
28.857,-0.039,0.02,1.035
28.981,-0.039,0.021,1.037
28.981,-0.038,0.021,1.036
28.981,-0.039,0.021,1.036
29.104,-0.038,0.021,1.035
29.104,-0.038,0.021,1.035
29.104,-0.039,0.021,1.034
29.217,-0.039,0.021,1.036
29.217,-0.038,0.021,1.036
29.217,-0.037,0.021,1.035
29.341,-0.037,0.021,1.037
29.341,-0.038,0.021,1.035
29.341,-0.038,0.02,1.035
29.464,-0.038,0.021,1.038
29.464,-0.037,0.021,1.035
29.464,-0.038,0.021,1.035
29.588,-0.039,0.021,1.038
29.588,-0.039,0.021,1.036
29.588,-0.039,0.021,1.034
29.701,-0.039,0.021,1.036
29.702,-0.038,0.022,1.034
29.702,-0.038,0.021,1.037
29.824,-0.04,0.021,1.035
29.824,-0.038,0.021,1.037
29.824,-0.038,0.021,1.035
